id_endereco,rua,numero,complemento,id_distrito,num_cep
1,RUA DA GLORIA,410,SE,3,
2,RUA JARAGUA,383,,8,
3,RUA AURORA,322,SANTA IFIGENIA,6,
4,RUA MARQUES DE PARANAGUA,246,,1,
23,RUA ITAPICURU,80,,46,
24,AV SÃO MIGUEL,3551,VILA CONSTANCIA,11,
6,RUA HERMÍNIO LEMOS,70,,5,
7,RUA CAMILO,317,,50,
8,RUA SAPUCAIA,206,,39,
9,RUA DOS CAMARÉS,94,,64,
10,AV. AIRTON PRETINI,69,,9,
11,RUA PE. JOSÉ DE ANCHIETA,138,,80,
12,RUA RIO BONITO,950,,41,
13,AV. CASA VERDE,677,,63,
14,RUA DEP. LACERDA FRANCO,372,,45,
15,RUA DR. RENATO PAES DE BARROS,340,,49,
16,AV. ONZE DE JUNHO,89,,79,
17,RUA DOM LUÍS LASANHA,534,,32,
18,RUA JUVENTUS,350,,31,
19,RUA AMAMBAÍ,1181,,68,
20,RUA SÃO ZEFERINO,34,,61,
21,AV. MARCONDES DE BRITO,1416,,10,
22,RUA AMÉRICO GOMES DA COSTA,305,,22,
25,RUA HUMBERTO RAVELLO,9,,95,
26,AV. PE. ARLINDO VIEIRA,50,,43,
27,RUA DEMÓSTENES,407,,82,
28,AV. ITABERABA,731,,72,
29,AV. SAPOPEMBA,3259,,35,
30,RUA ANTÔNIO CAMARDO,69,,30,
31,AV. CONS. CARRÃO,2580,,34,
32,RUA SABBADO D'ANGELO,64,,19,
33,RUA JOAQUIM OLIVEIRA FREITAS,1170,,73,
34,AV. PROF. FRANCISCO MORATO,2971,,55,
35,AV. ENG. GEORGE CORBISIER,322,,84,
36,RUA TUTÓIA,921,,79,
37,RUA JACARATINGA,201,,88,
38,AV. PARADA PINTO,2387,,70,
39,RUA DA ESPERANÇA,797,,61,
40,AV. DEP. EMÍLIO CARLOS,1251,,91,
41,AV. INCONFIDÊNCIA MINEIRA,688,,77,
42,AV. ORATÓRIO,1588,,42,
43,RUA ANTÔNIO GIL,1349,,89,
44,RUA SALVADOR GIANETTI,386,,24,
45,RUA JOAQUIM FERREIRA DA ROCHA,403,,77,
46,RUA FIORELLI PECICACCO,320,,76,
47,ESTR. DE ITAPECERICA,5864,,91,
48,RUA ANÍBAL DOS ANJOS CARVALHO,87,,87,
49,AV. RAGUEB CHOHFI,870,,15,
50,RUA TIBÚRCIO DE SOUZA,860,,27,
51,RUA BARROSO NETO,46,,57,
52,RUA DR. CORINTO BALDOÍNO COSTA,400,,30,
53,RUA OSVALDO PUCCI,180,,18,
54,RUA FRANCISCO JOSÉ VIANA,175,,25,
55,RUA ALDEIA DE SANTO INÁCIO,696,,20,
56,RUA DRA. ESMERALDA MENDES POLICINE,264,,40,
57,RUA DO ORATÓRIO,2220,,31,
58,RUA ANTÚRIOS,362,,38,
59,RUA VISTOSA DA MADRE DE DEUS,120,,28,
62,RUA RUY PIROZZELLI,250,,17,
63,RUA DRÍADES,50,,23,
64,RUA SONHO GAÚCHO,638,,12,
65,AV. PE. ESTANISLAU DE CAMPOS,750,,12,
66,AV. OSVALDO VALLE CORDEIRO,190,,37,
67,RUA SEVERINO JOSÉ FERNANDES,1900,,26,
68,RUA JOÃO DA SILVA AGUIAR,850,,29,
69,RUA ARQ. VILA NOVA ARTIGAS,720,,44,
70,RUA OTÁVIO ALVES DUNDAS,390,,44,
72,RUA RUA SILVIO BUENO PERUCHE,500,,77,
73,AV. PAULO LINCOLN DO VALE PONTIM,744,,69,
74,AV. ELÍSIO TEIXEIRA LEITE,7461,,74,
75,RUA MÁRIO ANCONA,530,,59,
77,AL. GLETE,827,,4,
78,RUA ESTADOS UNIDOS,1608,,47,
80,RUA LEONEL DA GAMA BELES,0,,89,
81,AV. CELSO GARCIA,2875,,33,
83,RUA ÂNGELO BERTINI,82,,43,
85,RUA DR. JUVENAL HUDSON FERREIRA,0,,93,
87,AV. MENOTTI LAUDÍSIO,286,,73,
89,RUA DOMINGOS SIMÕES,21,,51,
90,AL. 1° SARG. OSMAR CORTEZ CLARO,52,,68,
91,AV. GASTÃO VIDIGAL,307,,54,
92,RUA MARIA BENEDITA RODRIGUES,200,,80,
93,AV. CORIFEU DE AZEVEDO MARQUES,4300,,58,
95,RUA COM. TAYLOR,1180,,43,
96,AV. ENG. LUÍS CARLOS BERRINI,900,,49,
97,ROD. DOS IMIGRANTES, KM. 11,5,,89,
98,AV. ÂNGELO CRISTIANINI,467,,84,
99,RUA SARG. MANOEL BARBOSA DA SILVA,115,,83,
100,RUA JOSÉ CARLOS DOS SANTOS MARQUES,301,,94,
101,RUA CAROLINA MICHAELIS,370,,87,
102,AV. ROBERT KENNEDY,1171,,85,
103,AV. NAGIB FARAH MALUF,209,,19,
5,RUA PROF. ANTÔNIO PRUDENTE,160,,3,
